Timeslot,NoBrokers,NoCustomers,Consumption,Production,Consumption24hAgo,Production24Ago,TempForecast,WindSpeedForecast,WindDirectionForecast,CloudsForecast,ClearedQuantity,ClearedQuantity24h,Imbalance,Imbalance24h,Imbalance24hSign
422,2,187,62289.12591,14555.41228,65876.50794,14920.69924,17.9,3.13,247,0.286,940.7751591,1282.125299,-23369.65229,-661.9863722,-1
423,2,187,67293.99225,16235.2332,68596.13676,6910.398718,16.4,3.13,247,0.536,963.9714501,1053.124114,-29785.2444,-13327.52106,-1
424,2,187,62483.90893,9730.092898,58944.75362,7457.046197,14.7,3.13,217,0.161,877.3192455,945.5312398,-15485.6452,-3158.776599,-1
425,2,187,64876.26731,3986.688514,63976.95786,3877.718199,15.3,3.13,247,0.911,1180.151945,984.0205684,-3924.108514,8654.291248,1
426,2,187,64549.37799,5203.846161,63653.48791,3659.42,14.8,3.13,237,0.411,1019.379159,1048.831765,-10825.11713,-9323.388082,-1
427,2,187,60720.94189,5155.83,55229.53902,5591.982712,14.9,2.13,227,0.911,1017.989795,1045.693421,965.0429846,-6830.640873,-1
428,2,187,52291.85042,5221.2676,56146.14139,7035.35,13.9,2.13,207,0.411,1055.619593,1010.022978,-463.2356785,-5907.820002,-1
429,2,187,44364.30251,5468.530659,47163.22735,5329.19703,13.2,3.13,227,0.911,1009.104128,945.7949161,2189.144268,3134.064407,1
430,2,187,39553.6964,5231.5052,43195.42245,102.3460162,14.3,2.13,217,0.911,758.6047691,959.7614942,-1994.169446,3314.979144,1
431,2,187,35564.13661,5164.4912,38596.20591,67.68891009,14.4,2.13,207,0.786,869.2909356,811.285106,626.2129801,4669.284028,1
432,2,187,35758.56882,5126.752,40053.7853,75.33922853,16.3,0.88,236,0.815,840.6723703,772.9879671,-418.7081124,-494.4288454,-1
433,2,187,32632.20384,293.8567814,36106.41208,328.4570805,16.9,0,236,0.815,825.9950178,934.5438549,-5465.415078,4761.242276,1
434,2,187,35039.30798,5140.7516,38916.01846,6.0972,17.4,0.88,236,0.815,828.9822227,777.2838125,-359.8002922,-970.2542905,-1
435,2,187,40320.20359,5124.58,49562.10368,4.6488,17.3,0.88,236,0.815,773.0819623,749.8640589,763.103784,2834.554182,1
436,2,187,52176.78375,5078.62,52700.56295,0.8244,17.9,0.88,216,0.815,868.0935293,780.1327886,7464.917845,7227.318557,1
437,2,187,57471.56322,5437.43,58500.58514,295.88,17.7,0,216,0.815,896.4300187,910.2697971,13083.9674,15912.01838,1
438,2,187,48681.89214,6494.5,49283.74481,134.0952,17.6,0.88,216,0.815,958.7428808,1225.495552,3196.597571,8436.961387,1
439,2,187,63907.42398,10493.71235,75975.38159,5986.51664,18.7,0.88,236,0.815,964.3634643,1063.76698,-31.75375125,5103.984562,1
440,2,187,64024.06626,14376.95082,73143.03732,11558.58133,19.4,0.88,236,0.815,1115.611592,1203.051691,-11779.71705,-6838.796476,-1
441,2,187,63928.22151,35755.96,65594.14553,29180.97462,20.2,0.88,276,0.815,1015.254413,1043.793366,16462.00489,-18166.04705,-1
442,2,187,55233.95139,23741.65176,61137.28609,17080.86884,21.1,0.88,6,0.815,1115.805256,1216.936758,-24123.31351,-21899.16975,-1
443,2,187,55649.91132,19154.01744,58097.74092,14207.18888,22.7,0.88,6,0.815,1212.8307,930.4370397,-6323.507444,-37788.44596,-1
444,2,187,61921.99535,49984.92,59334.9583,14563.51938,22.5,0.88,6,0.815,1091.672259,938.4310799,9550.466754,-13366.11399,-1
445,2,187,56685.36203,33433.19,62116.56036,11916.76378,22.2,1.88,36,0.815,1305.286983,996.7358136,19469.61111,-16468.42153,-1
446,2,187,52565.40585,23315.67637,62289.12591,14555.41228,21.6,0.88,36,0.815,1282.125299,1039.404502,-661.9863722,-13998.17875,-1
